Protein IDs	Protein Names	Gene Names	Protein Descriptions	Uniprot IDs	RefSeq protein IDs	Refseq mRNA ID	ENSEMBL ID	MGI ID	Protein length [amino acids]	Protein molecular weight [kDa]	Protein copy number experiment [molecules/cell]	Protein copy number replicate [molecules/cell]	Protein copy number average [molecules/cell]	mRNA copy number experiment [molecules/cell]	mRNA copy number replicate [molecules/cell]	mRNA copy number average [molecules/cell]	Protein half-life experiment [h]	Protein half-life replicate [h]	Protein half-life average [h]	mRNA half-life experiment [h]	mRNA half-life replicate [h]	mRNA half-life average [h]	transcription rate (vsr) experiment [molecules/(cell*h)]	transcription rate (vsr) replicate [molecules/(cell*h)]	transcription rate (vsr) average [molecules/(cell*h)]	translation rate constant (ksp) experiment [molecules/(mRNA*h)]	translation rate constant (ksp) replicate [molecules/(mRNA*h)]	translation rate constant (ksp) average [molecules/(mRNA*h)]
"IPI00751369.1;IPI00319994.6;IPI00756114.1;IPI00754398.1;IPI00467457.3;IPI00881151.1;IPI00881267.1"	"L-lactate dehydrogenase;L-lactate dehydrogenase A chain;LDH muscle subunit;Ldha protein"	"Ldha;Ldh1;Ldh-1"	"lactate dehydrogenase A isoform 2;L-lactate dehydrogenase A chain;30 kDa protein;Ldha protein"	"Q3TCI7;Q3THB4;Q3TI99;P06151;Q3UDU4;Q3UIC3;Q564E2;Q99K20;Q6NXW3"	"NP_001129541;NP_034829"	NM_001136069	"ENSMUST00000005051;ENSMUST00000048209;ENSMUST00000107634"	"MGI:96759;MGI:96759;MGI:96759"	361	39,76	2060058,14	2496711,43	2267900,06	395,05	381,78	388,36	103,03	245,95	159,19	19,62	29,2	23,93	23,05	16,82	19,69	165,88	161,82	163,84
"IPI00317590.5;IPI00851049.1;IPI00620156.1;IPI00474174.1;IPI00275455.2;IPI00268802.1;IPI00111248.1;IPI00381655.4;IPI00669224.2;IPI00377406.5"	"40S ribosomal protein S18;Ke-3;Ribosomal protein S18 (Rps18) pseudogene;MCG116671"	"Rps18;OTTMUSG00000000655;RP23-371K8.1-001;mCG_116671"	"40S ribosomal protein S18;similar to ribosomal protein;similar to ribosomal protein;MCG116671;similar to ribosomal protein isoform 1;similar to ribosomal protein;similar to ribosomal protein"	"P62270;Q3TW65;Q561N5;Q5SVZ5"	"NP_035426;XP_001477246;XP_001473856;XP_001477784;XP_001478120;XP_001479425;XP_001479429;XP_001479534;XP_001479543;XP_001474233;XP_001477576;XP_357690;XP_917433"		"ENSMUST00000008812;ENSMUST00000080443"	"MGI:98146;MGI:3649931"	152	17,72	2042293,23	1438961,39	1714287,34	NA	NA	NA	130,75	218,85	169,16	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00137787.3	60S ribosomal protein L8	Rpl8	60S ribosomal protein L8	"P62918;Q3THC7;Q3UJS0;Q9Z237"	NP_036183	NM_012053	ENSMUST00000004072	MGI:1350927	257	28,02	2038891,65	985900,15	1417795,32	2099,48	1097,42	1517,9	99,02	124,77	111,15	15,35	14,54	14,94	142,48	73,82	102,56	31,13	24,62	27,69
"IPI00122421.5;IPI00623893.2;IPI00648920.2"	60S ribosomal protein L27	Rpl27	"60S ribosomal protein L27;hypothetical protein isoform 1"	"P61358;Q5BLJ9;Q9CSM4"	"NP_035419;XP_001473243;XP_984488;XP_894897;XP_922849"		"ENSMUST00000077856;ENSMUST00000097682;ENSMUST00000107249"	MGI:98036	136	15,8	2023755,67	2002729,86	2013215,32	NA	NA	NA	44,88	60,03	51,91	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00331092.7;IPI00752798.2;IPI00471047.2;IPI00116049.1"	"40S ribosomal protein S4, X isoform;Putative uncharacterized protein;Ribosomal protein S4, Y-linked 2;RIKEN cDNA 1110033J19"	"Rps4x;Rps4;Rps4y2;1110033J19Rik;RP23-251M14.2-001;mCG_49215"	"40S ribosomal protein S4, X isoform;predicted gene 9294;RIKEN cDNA 1110033J19"	"P62702;Q3UXQ6;Q545F8;Q545X8;Q3V1Z5"	"NP_033120;NP_001074505"	NM_009094	"ENSMUST00000033683;ENSMUST00000071745"	"MGI:98158;MGI:1913434"	263	29,6	2022906,11	1491225,27	1736838,71	NA	NA	NA	73,52	107,83	89,04	10,61	14,21	12,28	160,43	NA	160,43	NA	23,26	23,26
"IPI00465880.4;IPI00277965.3;IPI00938493.1;IPI00850702.1;IPI00756610.2"	40S ribosomal protein S17	Rps17	40S ribosomal protein S17	"P63276;Q3TK12;Q5M9L7;Q8BT90"	NP_033118		ENSMUST00000080813	MGI:1309526	135	15,52	2021481,82	1910905,7	1965416,28	NA	NA	NA	113,89	120,95	117,37	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00308885.6;IPI00845678.1;IPI00830313.1;IPI00830195.2;IPI00749932.1;IPI00853695.1"	"60 kDa heat shock protein, mitochondrial;Heat shock protein 60;60 kDa chaperonin;Chaperonin 60;Mitochondrial matrix protein P1;HSP-65"	"Hspd1;Hsp60"	Isoform 1 of 60 kDa heat shock protein, mitochondrial	"P63038-1;P63038"	NP_034607	NM_010477	ENSMUST00000027123	MGI:96242	573	60,95	1928441,16	2066799,99	1996422,34	261,27	203,09	230,35	214,8	NA	214,8	9,78	17,95	13,25	24,26	NA	24,26	208,42	NA	208,42
"IPI00118676.3;IPI00929797.1;IPI00857870.1;IPI00857990.1"	"Eukaryotic initiation factor 4A-I;ATP-dependent RNA helicase eIF4A-1;Putative uncharacterized protein"	"Eif4a1;Ddx2a;Eif4a"	"Eukaryotic initiation factor 4A-I;eukaryotic translation initiation factor 4A1 isoform 2"	"P60843;Q3TFG3;Q3TGK7;Q3U8I0;Q3UXC2;Q4FZL1;Q5F2A7;Q99LR0;Q3TLL6;Q3TSJ4;Q78WR5"	"NP_659207;NP_001152847"	NM_144958	ENSMUST00000102589	"MGI:95303;MGI:95303"	406	46,15	1890963,24	2334567,95	2101090,71	143,13	134,13	138,56	44,09	52,06	47,91	6,88	4,98	5,86	17,46	21,04	19,17	535,32	605,67	569,41
"IPI00121788.1;IPI00648615.3;IPI00648105.1;IPI00848536.1;IPI00605254.5;IPI00649645.1;IPI00853723.1"	"Peroxiredoxin-1;Thioredoxin peroxidase 2;Thioredoxin-dependent peroxide reductase 2;Osteoblast-specific factor 3;Macrophage 23 kDa stress protein;Peroxiredoxin 1"	"Prdx1;Msp23;Paga;Tdpx2;RP23-177C18.2-006;RP23-177C18.2-004;RP23-177C18.2-002"	"Peroxiredoxin-1;Peroxiredoxin 1;Peroxiredoxin 1;similar to MSP23 isoform 1;similar to MSP23 isoform 2;Peroxiredoxin 1"	"P35700;B1AXW7;Q3U9J9;B1AXW6;B1AXW5;B1AXW4"	"NP_035164;XP_922530;XP_001003388"	NM_011034	"ENSMUST00000030454;ENSMUST00000106470"	MGI:99523	199	22,18	1880419,43	2343933,93	2099423,47	189,13	176,25	182,57	175,81	200	187,52	14,57	16,42	15,47	13,28	10,92	12,04	288,41	337,08	311,8
"IPI00139795.2;IPI00742383.1"	60S acidic ribosomal protein P2	Rplp2	"60S acidic ribosomal protein P2;similar to LOC665931 protein isoform 1"	P99027	"NP_080296;XP_001479482;XP_001479486"	NM_026020	"ENSMUST00000084434;ENSMUST00000106003;ENSMUST00000106004"	MGI:1914436	115	11,65	1846989,11	2188583,14	2010544,51	NA	NA	NA	58,64	63,61	61,08	17,18	28,15	21,99	NA	NA	NA	NA	NA	NA
"IPI00230623.8;IPI00889220.2;IPI00128267.4;IPI00113884.4"	60S ribosomal protein L32	Rpl32	"60S ribosomal protein L32;ribosomal protein L32-like"	"P62911;Q5PR09"	"NP_742083;NP_001095031"	NM_172086	ENSMUST00000081840	MGI:98038	135	15,86	1842416,16	879355,95	1272847,05	904,49	729,84	812,49	140,58	228,6	179,27	13,98	16,3	15,09	65,27	45,44	54,46	61,08	30,02	42,82
"IPI00420726.3;IPI00856235.1;IPI00918411.1;IPI00880750.1;IPI00857782.1;IPI00858267.1"	"40S ribosomal protein S9;Rps9 protein"	Rps9	"40S ribosomal protein S9;Putative uncharacterized protein;16 kDa protein;16 kDa protein"	"Q6ZWN5;Q96EC0;Q9CXW7"	NP_084043	NM_029767	"ENSMUST00000006496;ENSMUST00000108625;ENSMUST00000108623"	"MGI:1924096;MGI:1924096"	194	22,59	1795554,34	1666859,41	1730010,59	601,39	566,14	583,5	136,29	217,29	172,09	12,45	18,81	15,3	46,96	32,13	38,84	89,94	73,86	81,5
IPI00230133.5	"Histone H1.5;H1 VAR.5;H1b"	"Hist1h1b;H1f5"	Histone H1.5	"P43276;Q1WWK3;Q5T003"	NP_064418		ENSMUST00000080511	MGI:1861461	223	22,58	1723423,06	982133,98	1301012,05	NA	NA	NA	88,79	72,71	80,35	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00420261.5;IPI00665601.1;IPI00458851.2;IPI00753905.3;IPI00761360.1;IPI00853656.1;IPI00621282.3;IPI00752229.2;IPI00848872.1;IPI00849249.1;IPI00461809.1;IPI00554889.1;IPI00229570.1;IPI00664560.2;IPI00377392.3;IPI00848984.1;IPI00330925.1;IPI00674535.1"	"High mobility group protein B1;High mobility group protein 1"	"Hmgb1;Hmg-1;Hmg1"	"High mobility group protein B1;similar to high-mobility group box 1;25 kDa protein;similar to high-mobility group box 1;similar to high-mobility group box 1;14 kDa protein;similar to high-mobility group box 1"	"P63158;Q3UBK2;Q3UJK0;Q497Z6;Q58EV5;Q6P202;Q8BNM0;Q8BQ02;Q8C7C4"	"NP_034569;XP_001476657;XP_918585;XP_001475240;XP_889413;XP_001475264;XP_001476147"		"ENSMUST00000085546;ENSMUST00000093196;ENSMUST00000110505"	MGI:96113	215	24,89	1704196,74	1276708,91	1475046,83	NA	NA	NA	79,97	216,18	131,48	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00230427.5;IPI00606310.1;IPI00122073.1;IPI00671402.1"	"Macrophage migration inhibitory factor;Phenylpyruvate tautomerase;L-dopachrome tautomerase;L-dopachrome isomerase;Glycosylation-inhibiting factor;Delayed early response protein 6"	Mif	"Macrophage migration inhibitory factor;similar to macrophage migration inhibitory factor isoform 1"	"P34884;Q545F0"	"NP_034928;XP_001481125;XP_001481126"	NM_010798	ENSMUST00000038169	MGI:96982	115	12,5	1702949,92	1471055,51	1582761,46	1243,97	933,61	1077,67	174,93	894,39	395,54	17,56	40,81	26,77	77,57	35,05	52,14	39,77	35,8	37,73
"IPI00132460.1;IPI00649136.1;IPI00880492.1;IPI00874521.1;IPI00118166.1;IPI00474008.2;IPI00918226.1;IPI00756343.3;IPI00845657.1;IPI00227190.8"	"60S ribosomal protein L26;Silica-induced gene 20 protein;Ribosomal protein L26"	"Rpl26;RP23-396M19.1-002;RP23-396M19.1-003"	"60S ribosomal protein L26;Ribosomal protein L26;Ribosomal protein L26;17 kDa protein;similar to ribosomal protein L26"	"P61255;Q3U7N1;Q4FZH2;B1ARA5;B1ARA3"	"NP_033106;XP_138109;XP_920936"	NM_009080	"ENSMUST00000073471;ENSMUST00000101014"	MGI:106022	145	17,26	1683289,94	990130,12	1290998,09	777,74	587,24	675,81	111,92	167,57	136,95	13,23	10,16	11,6	58,23	51,23	54,62	67,6	43,74	54,38
"IPI00620256.3;IPI00400300.1;IPI00230435.1;IPI00886130.1"	Lamin-A/C	"Lmna;Lmn1"	"Isoform A of Lamin-A/C;Isoform C of Lamin-A/C;Isoform C2 of Lamin-A/C"	"P48678-1;P48678;B3RH23;Q3U7I5;Q3UCU3;Q8BNX5;P48678-2;B3RH24;Q3U733;P48678-3;Q9CTL2"	"NP_001002011;NP_001104572;NP_062263"	NM_001002011	ENSMUST00000029699	"MGI:96794;MGI:96794;MGI:96794"	665	74,24	1679120,63	1663323,14	1671203,22	227,38	249,71	238,28	63,02	127	89,46	15,48	22,8	18,79	15,35	12,61	13,91	266,09	182,23	220,2
"IPI00263879.4;IPI00625702.1;IPI00120674.2;IPI00668025.2;IPI00886087.1"	60S ribosomal protein L35	Rpl35	"60S ribosomal protein L35;similar to ribosomal protein L35"	Q6ZWV7	"NP_079868;XP_001472032;XP_001472447;XP_001475518"		"ENSMUST00000080861;ENSMUST00000102782"	MGI:1913739	123	14,55	1671061,75	1651780,66	1661393,24	NA	NA	NA	137,31	230,35	177,85	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00880252.1;IPI00114733.1;IPI00880972.1;IPI00123306.2"	"Putative uncharacterized protein;Serpin H1;Collagen-binding protein;47 kDa heat shock protein;Serine protease inhibitor J6"	"Serpinh1;Cbp1;Hsp47"	"serine (or cysteine) proteinase inhibitor, clade H, member 1 precursor;Serpin H1"	"Q3TJK3;Q3TMD2;Q3TWG9;Q5U4D0;Q8BV87;Q8BVU9;P19324"	"NP_001104513;NP_001104514;NP_033955"	NM_001111043	ENSMUST00000094154	"MGI:88283;MGI:88283"	417	46,53	1668605,9	4707512,53	2802674,29	384,96	512,83	444,32	86,69	324,34	167,68	15,82	35,94	23,84	25,63	20,39	22,86	143,25	221,01	177,93
"IPI00269661.1;IPI00459722.2;IPI00677689.3"	Heterogeneous nuclear ribonucleoprotein A3	"Hnrnpa3;Hnrpa3;RP23-374O4.1-003"	"Isoform 1 of Heterogeneous nuclear ribonucleoprotein A3;Heterogeneous nuclear ribonucleoprotein A3;similar to heterogeneous nuclear ribonucleoprotein A3, isoform 12"	"Q8BG05-1;Q8BG05;Q3UZG3;Q5FB19;A2AL12;Q6P6I7"	"NP_666242;NP_932758;XP_926852;XP_902725"	NM_146130	"ENSMUST00000090792;ENSMUST00000111964;ENSMUST00000111961"	"MGI:1917171;MGI:1917171"	379	39,65	1657050,73	1345543,52	1493195,86	NA	NA	NA	168,43	226,98	195,53	6,99	8,07	7,51	2,43	NA	2,43	NA	2321,8	2321,8
"IPI00134599.1;IPI00856866.1"	40S ribosomal protein S3	Rps3	"40S ribosomal protein S3;21 kDa protein"	"P62908;O89068;Q3UCL7;Q3UK56;Q5YLW3;Q9CZP6;Q9D0A2"	NP_036182	NM_012052	ENSMUST00000032998	MGI:1350917	243	26,67	1652747,1	1894600,66	1769546,76	326,55	303,29	314,71	137,36	184,83	159,34	29,39	23,25	26,14	15,35	15,15	15,25	152,67	160,29	156,43
"IPI00461456.1;IPI00849847.1;IPI00874935.1;IPI00758298.1;IPI00752985.1;IPI00752639.1;IPI00876212.1;IPI00754976.2;IPI00848364.1;IPI00876172.1;IPI00756014.1;IPI00672807.2;IPI00623004.3;IPI00662290.1;IPI00620925.2;IPI00850004.1;IPI00849834.1;IPI00345911.2;IPI00379638.1;IPI00379639.1;IPI00754636.2"	60S ribosomal protein L23a	Rpl23a	"60S ribosomal protein L23a;similar to ribosomal protein L23a;similar to ribosomal protein L23a;similar to ribosomal protein L23a;similar to ribosomal protein L23a;similar to ribosomal protein L23a;17 kDa protein;similar to ribosomal protein L23a;similar to"	"P62751;Q4V9X9;Q5M9M5;Q91YK6"	"NP_997406;XP_001480950;XP_001475762;XP_001476183;XP_001476768;XP_001477484;XP_001002269;XP_001002232;XP_989377;XP_989011;XP_989631;XP_001473265;XP_001473285;XP_001478531"		"ENSMUST00000079428;ENSMUST00000102483"	MGI:3040672	156	17,7	1652125,23	1357558,22	1497616,84	NA	NA	NA	78,47	86,48	82,38	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00313222.5;IPI00626312.1;IPI00457852.3;IPI00853789.1;IPI00378933.4"	"60S ribosomal protein L6;TAX-responsive enhancer element-binding protein 107"	Rpl6	"60S ribosomal protein L6;similar to ribosomal protein L6;similar to ribosomal protein L6"	"P47911;Q3UCH0;Q3UFI4"	"NP_035420;XP_890389;XP_911243;XP_483949;XP_920935"	NM_011290	ENSMUST00000031617	MGI:108057	296	33,51	1640621,43	1497360,87	1567355,2	147,71	117,89	131,96	93,92	132,54	111,57	12,09	8,26	9,99	11,77	12,1	11,93	359,85	342,72	351,18
"IPI00222546.5;IPI00755995.1;IPI00850585.1;IPI00660661.2;IPI00848995.1;IPI00667777.1"	"60S ribosomal protein L22;Heparin-binding protein HBp15"	Rpl22	"60S ribosomal protein L22;similar to ribosomal protein L22;similar to ribosomal protein L22"	"P67984;Q4VAG4"	"NP_033105;XP_001477749;XP_001473369;XP_979509;XP_001475417;XP_001476809"	NM_009079	ENSMUST00000103191	MGI:99262	128	14,76	1625341,59	1253467,76	1427344,83	NA	NA	NA	87,93	147,54	113,9	19,16	12,89	15,72	NA	NA	NA	NA	NA	NA
"IPI00311236.1;IPI00775948.1;IPI00673513.2;IPI00458337.4"	60S ribosomal protein L7	Rpl7	"60S ribosomal protein L7;Protein;similar to 60S ribosomal protein L7 isoform 2;29 kDa protein"	"P14148;Q3TK73;Q3UBI6;Q5M9N8"	"NP_035421;XP_902311;XP_924795"	NM_011291	ENSMUST00000058437	MGI:98073	270	31,42	1623099,85	1276411,28	1439355,05	NA	NA	NA	112,71	209,36	153,61	8,14	19,81	12,7	54,17	NA	54,17	NA	70,89	70,89
IPI00121427.1	"Protein S100-A6;S100 calcium-binding protein A6;Calcyclin;Prolactin receptor-associated protein;5B10"	"S100a6;Cacy"	Protein S100-A6	"P14069;Q545I9"	NP_035443	NM_011313	ENSMUST00000001051	MGI:1339467	89	10,05	1574010,33	933952,81	1212456,75	1050,61	1354,81	1193,05	95,36	91,05	93,18	16,64	20,47	18,46	67,73	72,98	70,31	48,44	20,33	31,38
"IPI00127841.3;IPI00462250.2;IPI00658303.1;IPI00663219.2"	"ADP/ATP translocase 2;Adenine nucleotide translocator 2;ADP,ATP carrier protein 2;Solute carrier family 25 member 5"	"Slc25a5;Ant2"	ADP/ATP translocase 2	"P51881;Q545A2"	NP_031477	NM_007451	ENSMUST00000016463	MGI:1353496	298	32,93	1535914,21	1384117,04	1458041,51	321,74	238,11	276,79	112,02	124,13	117,92	12,01	16,81	14,21	25,76	14,53	19,34	149	159,59	154,2
IPI00323592.2	Malate dehydrogenase, mitochondrial	"Mdh2;Mor1"	Malate dehydrogenase, mitochondrial	P08249	NP_032643	NM_008617	ENSMUST00000019323	MGI:97050	338	35,61	1532379	1556550,87	1544417,64	257,24	132,25	184,44	149,16	354,58	229,98	14,16	16,89	15,47	18,4	8,04	12,17	176,95	280,67	222,86
"IPI00230660.5;IPI00857457.1;IPI00849417.1;IPI00849692.1;IPI00749889.1;IPI00857288.1;IPI00857931.1;IPI00850815.1;IPI00849251.1;IPI00459875.4;IPI00874430.1;"	40S ribosomal protein S15a	Rps15a	"40S ribosomal protein S15a;12 kDa protein;similar to hCG1994130;similar to hCG1994130;similar to hCG1994130;8 kDa protein;8 kDa protein;similar to Rps15a protein"	"P62245;Q5M9M4"	"NP_733769;XP_001475615;XP_001472616;XP_978445;XP_989754;XP_001477396;XP_001477661"	NM_170669	"ENSMUST00000106588;ENSMUST00000106590"	MGI:2389091	130	14,84	1525067,93	1088557,06	1288457,79	8,93	6,15	7,41	101,63	157,61	126,56	9,55	2,95	5,3	0,84	1,55	1,14	5430,7	4574,9	4984,47
"IPI00122426.1;IPI00264398.3;IPI00648315.1;IPI00754211.1;IPI00849754.1;IPI00853788.1"	"60S ribosomal protein L19;Ribosomal protein L19"	"Rpl19;RP23-309H19.6-002"	"60S ribosomal protein L19;similar to Mus musculus ribosomal protein L19;ribosomal protein L19 isoform 2;similar to Mus musculus ribosomal protein L19"	"P84099;Q5I0T8;A2A547"	"NP_033104;XP_001475785;XP_001476626;NP_001152955;XP_141608;XP_911813"		"ENSMUST00000017548;ENSMUST00000092425"	"MGI:98020;MGI:98020"	196	23,47	1513170,65	965936,45	1208977,54	NA	NA	NA	69,57	81,03	75,08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00331345.5;IPI00473521.1;IPI00679159.2"	40S ribosomal protein S3a	Rps3a	"40S ribosomal protein S3a;similar to ribosomal protein S3a;similar to ribosomal protein S3a"	"P97351;Q3U5P8;Q3UAC2;Q3UJU5;Q564F3;Q9D1S3"	"NP_058655;XP_001480995;XP_979863;XP_999639"	NM_016959	ENSMUST00000029722	MGI:1202063	264	29,89	1493099,83	1135917,8	1302320,5	318,8	209,45	258,41	98,52	162,95	126,7	9,37	21,71	14,26	30,58	10,89	18,25	149,91	141,85	145,82
"IPI00314950.2;IPI00626366.3;IPI00752782.1;IPI00626504.2;IPI00130830.1"	"60S acidic ribosomal protein P0;L10E"	"Rplp0;Arbp"	"60S acidic ribosomal protein P0;similar to Acidic ribosomal phosphoprotein P0;16 kDa protein"	"P14869;Q5FWB6;Q5M8R8"	"NP_031501;XP_996602"	NM_007475	ENSMUST00000086519	MGI:1927636	317	34,22	1490905,78	1915699,99	1690008,34	1287,01	879,16	1063,71	98,46	125,28	111,06	21,84	30,34	25,74	70,63	37,98	51,8	37,22	59,82	47,19
"IPI00127415.1;IPI00849626.1;IPI00515155.1;IPI00649841.1;IPI00648014.1;IPI00674226.5;IPI00468717.7"	"Nucleophosmin;Nucleolar phosphoprotein B23;Numatrin;Nucleolar protein NO38;Nucleophosmin 1;Npm1 protein;Putative uncharacterized protein"	"Npm1;RP23-323L8.2-006"	"Nucleophosmin;similar to Nucleophosmin;Nucleophosmin 1;Nucleophosmin 1;Putative uncharacterized protein;similar to Nucleophosmin 1 isoform 1;similar to Npm1 protein"	"Q61937;Q3U536;Q5SQB7;Q5U438;Q5SQB0;Q5BL09;Q5SQB5;Q3UDA7;Q8BSZ3;Q9DAY9"	"NP_032748;XP_001476579;XP_486188;XP_911732;XP_912877"	NM_008722	"ENSMUST00000075641;ENSMUST00000093201;ENSMUST00000109354;ENSMUST00000101375"	"MGI:106184;MGI:106184;MGI:106184;MGI:106184"	292	32,56	1486613,79	1157882,96	1311992,67	656,81	485,66	564,79	109,66	207,48	150,84	4,93	8,66	6,53	105,82	48,01	71,28	70,43	59,9	64,95
"IPI00466820.4;IPI00828628.2;IPI00475203.1;IPI00849948.1;IPI00875282.1;IPI00671398.1;IPI00274175.1"	"40S ribosomal protein S8;Ribosomal protein S8"	"Rps8;OTTMUSG00000000623;RP23-169M24.1-001;mCG_7626"	"40S ribosomal protein S8;Ribosomal protein S8;Ribosomal protein S8;similar to ribosomal protein S8;24 kDa protein;similar to ribosomal protein S8 isoform 1;similar to ribosomal protein S8 isoform 1"	"P62242;Q3UA25;Q3UJU6;Q497E9;Q9CQW4;Q9CRJ5;Q5M9L9;Q5SZV3"	"NP_033124;XP_001474155;XP_001474171;XP_001477347;XP_001472181;XP_001480960;XP_922575;XP_284504"	NM_009098	"ENSMUST00000061609;ENSMUST00000102696;ENSMUST00000074645"	"MGI:98166;MGI:98166;MGI:3649794"	208	24,2	1464797,88	1835919,78	1639893,72	NA	NA	NA	124,67	193,72	155,41	11,71	22,86	16,36	35,08	NA	35,08	NA	143,34	143,34
IPI00457898.3	"Phosphoglycerate mutase 1;Phosphoglycerate mutase isozyme B;BPG-dependent PGAM 1"	Pgam1	Phosphoglycerate mutase 1	"Q9DBJ1;Q3U7Z6;Q6NWV5"	NP_075907	NM_023418	ENSMUST00000011896	MGI:97552	254	28,83	1457780,53	1444836,72	1451294,2	NA	NA	NA	157,14	1787,1	529,93	16,37	27,1	21,06	2,49	NA	2,49	NA	714,3	714,3
"IPI00555069.3;"	Phosphoglycerate kinase 1	"Pgk1;Pgk-1"	Phosphoglycerate kinase 1	"P09411;B0LAA9"	NP_032854	NM_008828	ENSMUST00000081593	MGI:97555	417	44,55	1456840,73	2299183,76	1830176,1	NA	NA	NA	130,11	294,22	195,66	13,51	24,54	18,21	16,26	NA	16,26	NA	332,35	332,35
IPI00849927.1	Ribosomal protein L1	Rpl10a	ribosomal protein L10A	"Q3U561;Q5XJF6;Q99JL6"	"NP_035417;XP_001476443;XP_001479766"		ENSMUST00000042334	MGI:1343877	217	24,83	1396887,79	1074510,16	1225140,86	NA	NA	NA	150,37	231,91	186,74	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00131357.7;IPI00379267.3"	40S ribosomal protein S23	Rps23	Putative uncharacterized protein	"P62267;Q497E1;Q9CSN9;Q9CWI9;Q9CZI5"	"NP_001094078;NP_077137;XP_001476679"		ENSMUST00000051955	MGI:1913725	145	16,02	1376453,92	999023,94	1172651,02	NA	NA	NA	123,75	188,88	152,89	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00123007.1;IPI00677102.1;IPI00466822.2;IPI00469629.3;IPI00461413.1;IPI00625397.2;IPI00955368.1;IPI00874922.1"	60S ribosomal protein L31	Rpl31	"60S ribosomal protein L31;hypothetical protein isoform 1;hypothetical protein;hypothetical protein;hypothetical protein"	"P62900;Q5M9K9;Q9CY93"	"NP_444487;XP_001478338;XP_001479218;XP_996461;XP_996947;XP_922988;XP_001473267;XP_001478059;XP_001476707;XP_001479872;XP_001476725;XP_484165"	NM_053257	"ENSMUST00000086535;ENSMUST00000088648"	MGI:2149632	125	14,46	1367647,75	1478673,21	1422077,38	10,69	8,33	9,44	91,54	141,89	113,97	11,66	8,33	9,86	0,87	0,85	0,86	4170	4727,6	4440,06
"IPI00131259.2;IPI00224486.1;IPI00890027.1;IPI00120051.1"	"Galectin-3;Galactose-specific lectin 3;Mac-2 antigen;IgE-binding protein;35 kDa lectin;Carbohydrate-binding protein 35;Laminin-binding protein;Lectin L-29;L-34 galactoside-binding lectin;Putative uncharacterized protein;Beta-galactoside-binding lectin (L-34)"	Lgals3	"Galectin-3;galectin 3;19 kDa protein;Beta-galactoside-binding lectin (Fragment)"	"P16110;Q3V471;Q8C253;Q61357"	"NP_001139425;NP_034835"	NM_001145953	ENSMUST00000022388	"MGI:96778;MGI:96778;MGI:96778"	264	27,52	1348634,12	1167729,86	1254926,43	183,11	165,85	174,27	64,49	57,69	60,99	17,8	14,22	15,91	11,32	11,33	11,33	263,68	238,15	250,59
"IPI00139780.1;IPI00849890.1;IPI00648121.1"	60S ribosomal protein L23	Rpl23	60S ribosomal protein L23	"P62830;A2A6F9"	NP_075029	NM_022891	ENSMUST00000103146	MGI:1929455	140	14,87	1337366,83	1097379,06	1211444,74	120,43	66,03	89,17	104,13	162,92	130,25	8,01	11,57	9,63	13,02	5,23	8,25	350,86	433,5	390
"IPI00354819.5;IPI00848866.1;IPI00474757.4;IPI00462232.3;IPI00850361.1;IPI00458035.3;IPI00850299.1"	"Myosin light polypeptide 6;Smooth muscle and nonmuscle myosin light chain alkali 6;Myosin light chain alkali 3;LC17"	"Myl6;Myln"	"Isoform Smooth muscle of Myosin light polypeptide 6;similar to non-muscle myosin alkali light chain;similar to 17,000 dalton myosin light chain;similar to MYL6 protein;similar to non-muscle myosin alkali light chain;similar to 17,000 dalton myosin light ch"	"Q60605-2;Q60605;B0LAC7;Q3TIG9;Q642K0"	"NP_034990;XP_998567;XP_620708;XP_918704;XP_484859;XP_910444;XP_001476265;XP_485359;XP_999583"	NM_010860	ENSMUST00000074642	MGI:109318	151	16,96	1335423,43	1172725,09	1251433	NA	NA	NA	88,81	247,71	148,32	11,46	16,56	13,78	NA	NA	NA	NA	NA	NA
"IPI00869475.1;IPI00474487.1;IPI00463297.4;IPI00849174.1;IPI00113713.1;IPI00230679.5;IPI00755959.1;IPI00889996.1;IPI00351871.3"	60S ribosomal protein L36	Rpl36	"ribosomal protein L36;hypothetical protein;hypothetical protein;similar to rat ribosomal protein L36;hypothetical protein;60S ribosomal protein L36;similar to 60S ribosomal protein L36;10 kDa protein;similar to 60S ribosomal protein L36"	"Q5M9L1;Q6ZWZ4;P47964"	"NP_061200;XP_001480856;XP_001480857;XP_001480861;XP_001473913;XP_001480355;XP_001004069;XP_488179;XP_001480122;XP_001480771;XP_486208;XP_999363;XP_139574"		ENSMUST00000080492	"MGI:1860603;MGI:1860603"	105	12,25	1334113,95	1005079,91	1157968,53	NA	NA	NA	143,95	201,07	170,13	NA	NA	NA	NA	NA	NA	NA	NA	NA
